[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function end_of_line at 0x000001C02AB3B7E0>
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function abbreviations at 0x000001C02AB3B740>
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function word_sub at 0x000001C02AB3B920>
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _prepare_requests | Line No: 208 -  DEBUG: text_parts: ['\u0928\u092e\u0938\u0924\u0947 \u092e\u0947\u0930\u093e \u0928\u093e\u092e \u0936\u0941\u092d\u092e \u0939\u0948 \u092e\u0948\u0902 \u092a\u0942\u0928\u0947 \u092e\u0947\u0902 \u0930\u0939\u0924\u093e \u0939\u0942\u0901']
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _prepare_requests | Line No: 209 -  DEBUG: text_parts: 1
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _prepare_requests | Line No: 216 -  DEBUG: data-0: f.req=%5B%5B%5B%22jQ1olc%22%2C%22%5B%5C%22%5C%5Cu0928%5C%5Cu092e%5C%5Cu0938%5C%5Cu0924%5C%5Cu0947%20%5C%5Cu092e%5C%5Cu0947%5C%5Cu0930%5C%5Cu093e%20%5C%5Cu0928%5C%5Cu093e%5C%5Cu092e%20%5C%5Cu0936%5C%5Cu0941%5C%5Cu092d%5C%5Cu092e%20%5C%5Cu0939%5C%5Cu0948%20%5C%5Cu092e%5C%5Cu0948%5C%5Cu0902%20%5C%5Cu092a%5C%5Cu0942%5C%5Cu0928%5C%5Cu0947%20%5C%5Cu092e%5C%5Cu0947%5C%5Cu0902%20%5C%5Cu0930%5C%5Cu0939%5C%5Cu0924%5C%5Cu093e%20%5C%5Cu0939%5C%5Cu0942%5C%5Cu0901%5C%22%2C%5C%22en%5C%22%2Cnull%2C%5C%22null%5C%22%5D%22%2Cnull%2C%22generic%22%5D%5D%5D&
[ 2024-12-26 17:03:03,923 ]  Module: connectionpool.py | Function: _new_conn | Line No: 1049 -  DEBUG: Starting new HTTPS connection (1): translate.google.com:443
[ 2024-12-26 17:03:04,300 ]  Module: connectionpool.py | Function: _make_request | Line No: 544 -  DEBUG: https://translate.google.com:443 "POST /_/TranslateWebserverUi/data/batchexecute HTTP/1.1" 200 None
[ 2024-12-26 17:03:04,361 ]  Module: tts.py | Function: stream | Line No: 275 -  DEBUG: headers-0: {'Referer': 'http://translate.google.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36', 'Content-Type': 'application/x-www-form-urlencoded;charset=utf-8', 'Content-Length': '542'}
[ 2024-12-26 17:03:04,361 ]  Module: tts.py | Function: stream | Line No: 276 -  DEBUG: url-0: https://translate.google.com/_/TranslateWebserverUi/data/batchexecute
[ 2024-12-26 17:03:04,361 ]  Module: tts.py | Function: stream | Line No: 277 -  DEBUG: status-0: 200
[ 2024-12-26 17:03:04,362 ]  Module: tts.py | Function: write_to_fp | Line No: 318 -  DEBUG: part-0 written to <_io.BufferedWriter name='D:/personal/Personal_Projects/Anuwad-3/Backend\\static\\cbb5150c177c48d3b665c9a0e776531f.mp3'>
[ 2024-12-26 17:03:04,362 ]  Module: tts.py | Function: stream | Line No: 301 -  DEBUG: part-0 created
[ 2024-12-26 17:03:04,363 ]  Module: tts.py | Function: save | Line No: 337 -  DEBUG: Saved to D:/personal/Personal_Projects/Anuwad-3/Backend\static\cbb5150c177c48d3b665c9a0e776531f.mp3
[ 2024-12-26 17:03:04,364 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:03:04] "POST /stop_recording HTTP/1.1" 200 -
[ 2024-12-26 17:06:01,428 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:06:01] "OPTIONS /start_recording HTTP/1.1" 200 -
[ 2024-12-26 17:06:01,692 ]  Module: app.py | Function: start_recording | Line No: 56 -  INFO: inside start recording function !!
[ 2024-12-26 17:06:01,693 ]  Module: app.py | Function: record_audio | Line No: 41 -  INFO: inside record audio function !!!
[ 2024-12-26 17:06:01,693 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:06:01] "POST /start_recording HTTP/1.1" 200 -
[ 2024-12-26 17:06:06,205 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:06:06] "OPTIONS /stop_recording HTTP/1.1" 200 -
[ 2024-12-26 17:06:06,514 ]  Module: app.py | Function: stop_recording | Line No: 84 -  INFO: inside stop recording function !!
[ 2024-12-26 17:06:07,667 ]  Module: app.py | Function: stop_recording | Line No: 138 -  INFO: before indic call :
[ 2024-12-26 17:06:07,667 ]  Module: indic.py | Function: translate_text_indic | Line No: 28 -  INFO: inside indic translation :
[ 2024-12-26 17:06:08,467 ]  Module: app.py | Function: stop_recording | Line No: 141 -  INFO: after indic call :
[ 2024-12-26 17:06:08,467 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: text: \u0928\u092e\u094d\u0938\u091f\u0947 \u092e\u0947\u0930\u093e \u0928\u0945\u092e \u0936\u0941\u092d\u092e \u0939\u0948 
[ 2024-12-26 17:06:08,467 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: tld: com
[ 2024-12-26 17:06:08,467 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: lang: mr
[ 2024-12-26 17:06:08,467 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: slow: False
[ 2024-12-26 17:06:08,467 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: lang_check: True
[ 2024-12-26 17:06:08,467 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: pre_processor_funcs: [<function tone_marks at 0x000001C02AB3A980>, <function end_of_line at 0x000001C02AB3B7E0>, <function abbreviations at 0x000001C02AB3B740>, <function word_sub at 0x000001C02AB3B920>]
[ 2024-12-26 17:06:08,467 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: tokenizer_func: <bound method Tokenizer.run of re.compile('(?<=\\?).|(?<=!).|(?<=\uff1f).|(?<=\uff01).|(?<!\\.[a-z])\\. |(?<!\\.[a-z]), |(?<!\\d):|\\]|\\(|\\[|\uff1a|—|\u3002|\u2025|\\\n|¡|\u3001|¿|\\)|\u060c|;|…|\uff0c', re.IGNORECASE) from: [<function tone_marks at 0x000001C02AB3BB00>, <function period_comma at 0x000001C02AB3BBA0>, <function colon at 0x000001C02AB3BC40>, <function other_punctuation at 0x000001C02AB3BCE0>]>
[ 2024-12-26 17:06:08,467 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: timeout: None
